"","elife_institution","THE_rank"
"2511","Northeast Forestry University","Standard/Unranked/Unknown"
"2512","MGH/Harvard","Top"
"2513","ibs.GRANADA","Standard/Unranked/Unknown"
"2514","Clemson University","Standard/Unranked/Unknown"
"2515","Wesleyan University","Proficient"
"2516","BWH/Harvard","Top"
"2517","University of Camerino","Standard/Unranked/Unknown"
"2518","Harvard/MGH","Top"
"2519","UNIVERSITY OF BURGANDY","Standard/Unranked/Unknown"
"2520","UNSW Sydney","Proficient"
"2521","Vrije Universiteit Medical Center","Proficient"
"2522","University of Michigan School of Public Health","Top"
"2523","Wageningen","Proficient"
"2524","Tübingen University","Proficient"
"2525","A*Star Singapore","Top"
"2526","Birkbeck College, University of London","Standard/Unranked/Unknown"
"2527","University of Cologne, Biocenter","Proficient"
"2528","Erasmus University","Proficient"
"2529","University of Nevada School of Medicine","Top"
"2530","UIC College of Medicine","Top"
"2531","Aarhus University Hospital","Proficient"
"2532","University of Dundee School of Life Sciences","Standard/Unranked/Unknown"
"2533","University of Dundee, School of Life Sciences","Standard/Unranked/Unknown"
"2534","Kyushu University Hospital","Standard/Unranked/Unknown"
"2535","Nagoya University Hospital","Standard/Unranked/Unknown"
"2536","Monash University Malaysia","Proficient"
"2537","Max Plank Institut for Brain Research","Top"
"2538","Mt Sinai Medical Center","Top"
"2539","St. Louis University","Standard/Unranked/Unknown"
"2540","St Louis University","Standard/Unranked/Unknown"
"2541","NYU School of Medicine","Standard/Unranked/Unknown"
"2542","WVU School of Medicine","Standard/Unranked/Unknown"
"2543","Albert Einstein","Top"
"2544","Albert EInstein","Top"
"2545","University Of Thessaly, Faculty of Medicine","Top"
"2546","CNRS, University of Bordeaux","Standard/Unranked/Unknown"
"2547","University of Ulm","Standard/Unranked/Unknown"
"2548","Penn State","Standard/Unranked/Unknown"
"2549","Jagiellonian University Medical College","Standard/Unranked/Unknown"
"2550","Radboud University, NCMLS","Proficient"
"2551","NC State University","Proficient"
"2552","Clermont University","Standard/Unranked/Unknown"
"2553","University Ulm","Standard/Unranked/Unknown"
"2554","Charles Sturt University","Standard/Unranked/Unknown"
"2555","Saratov State University","Standard/Unranked/Unknown"
"2556","University of Turku, Finland","Standard/Unranked/Unknown"
"2557","CNRS/ University of Bordeaux","Standard/Unranked/Unknown"
"2558","UConn","Proficient"
"2559","Wits University","Standard/Unranked/Unknown"
"2560","Rutgers","Standard/Unranked/Unknown"
"2561","John Hopkins University School of Medicine","Top"
"2562","UT Soutwestern","Top"
"2563","Fukushima Medical University","Standard/Unranked/Unknown"
"2564","School of Medicine","Standard/Unranked/Unknown"
"2565","Walden University","Standard/Unranked/Unknown"
"2566","CNRS/University of Bordeaux","Standard/Unranked/Unknown"
"2567","Montpellier SupAgro, UMR AGAP; UMR 5554 ISEM (Université de Montpellier-CNRS-IRD-EPHE); Institut de Biologie de l'ENS, UMR 8197","Standard/Unranked/Unknown"
"2568","University of Strathclyde and MRC Laboratory of Molecular Biology","Standard/Unranked/Unknown"
"2569","VUmc University Medical Center","Top"
"2570","California State University, Long Beach","Standard/Unranked/Unknown"
"2571","Carleton College","Standard/Unranked/Unknown"
"2572","University at Albany, State University of New York","Standard/Unranked/Unknown"
"2573","Open University of Israel","Standard/Unranked/Unknown"
"2574","Université de Strasbourg","Standard/Unranked/Unknown"
"2575","University of Texas M D Anderson Cancer Center","Standard/Unranked/Unknown"
"2576","the University of Texas M. D. Anderson Cancer Center","Standard/Unranked/Unknown"
"2577","UCL, England","Standard/Unranked/Unknown"
"2578","Erasmus University Medical Center","Top"
"2579","University of Tromsø","Proficient"
"2580","Dundee University","Top"
"2581","Drew University","Standard/Unranked/Unknown"
"2582","Zurich University","Proficient"
"2583","U Penn","Proficient"
"2584","University of Lyon","Standard/Unranked/Unknown"
"2585","University Lyon 1","Standard/Unranked/Unknown"
"2586","Presidency University","Proficient"
"2587","INRA UMR","Standard/Unranked/Unknown"
"2588","U. Penn","Proficient"
"2589","Oslo University","Proficient"
"2590","U  Penn","Proficient"
"2591","Unilever","Standard/Unranked/Unknown"
"2592","Univ of Penn","Proficient"
"2593","Loyola Univ","Standard/Unranked/Unknown"
"2594","Université Côte d'Azur","Standard/Unranked/Unknown"
"2595","University of Rochester School of Medicine","Proficient"
"2596","Northwest University Shaanxi, Xian, China","Standard/Unranked/Unknown"
"2597","Yamaguchi University Graduate School of Medicine, Japan","Standard/Unranked/Unknown"
"2598","University of Cambridge School of Clinical Medicine","Top"
"2599","University of Newcastle, Newcastle UK","Standard/Unranked/Unknown"
"2600","Beijing Normal University","Standard/Unranked/Unknown"
"2601","Universityof Wisconsin-Madison","Top"
"2602","National Research Institute of Child Health and Development","Standard/Unranked/Unknown"
"2603","National Research Institute for Child Health and Development","Standard/Unranked/Unknown"
"2604","Sungkyunwan University School of Medicine","Top"
"2605","tabuk university","Standard/Unranked/Unknown"
"2606","University of Brussels","Proficient"
"2607","National Institute for Public Health and the Environment","Top"
"2608","University of Goettingen","Proficient"
"2609","University of Osnabrueck","Standard/Unranked/Unknown"
"2610","Cleveland State University","Standard/Unranked/Unknown"
"2611","Univesity of Pittsburgh","Proficient"
"2612","California State University, Northridge","Standard/Unranked/Unknown"
"2613","National Institute of Child Health and Human Development","Top"
"2614","Icahn Medical School - Mount Sinai Hospital","Proficient"
"2615","Autónoma de Madrid University","Standard/Unranked/Unknown"
"2616","La Trobe Institute for Molecular Science","Standard/Unranked/Unknown"
"2617","University of Michigan Medical School","Top"
"2618","A*STAR","Standard/Unranked/Unknown"
"2619","Univ. Michigan Medical School","Top"
"2620","University of Adelaide, Medical School","Proficient"
"2621","ASTAR","Standard/Unranked/Unknown"
"2622","University of Florence, AOU Careggi","Standard/Unranked/Unknown"
"2623","Shenzhen Peking University-The Hong Kong University of Science and Technology Medical Center","Standard/Unranked/Unknown"
"2624","A*Star","Standard/Unranked/Unknown"
"2625","National Institutes of Natural Sciences","Standard/Unranked/Unknown"
"2626","University of Utah Medical Center","Top"
"2627","Catalan Institute of Oncology","Standard/Unranked/Unknown"
"2628","University of Louisville School of Medicine,","Standard/Unranked/Unknown"
"2629","University of Louisville School of Medicine","Standard/Unranked/Unknown"
"2630","Humboldt-Universität zu Berlin","Proficient"
"2631","Humboldt Universität zu Berlin","Proficient"
"2632","National Institute for Materials Science","Standard/Unranked/Unknown"
"2633","Radboud University Medical Centre","Top"
"2634","University of Colorado Anschutz Medical Campus","Proficient"
"2635","University of Colorado, Anschutz Medical Campus","Proficient"
"2636","Institute of Medical Science","Standard/Unranked/Unknown"
"2637","Université de Neuchâtel","Standard/Unranked/Unknown"
"2638","Johns Hopkins Bloomberg School of Public Health","Top"
"2639","Karolinska Institute, Stockholm, Sweden.","Top"
"2640","Bates College","Standard/Unranked/Unknown"
"2641","University of Kentucky Medical Center","Standard/Unranked/Unknown"
"2642","Univeristy at Buffalo (SUNY)","Standard/Unranked/Unknown"
"2643","INRS - Université du Québec","Standard/Unranked/Unknown"
"2644","ISMB, Birkbeck, University of London","Standard/Unranked/Unknown"
"2645","Massachusetts General Hospital","Top"
"2646","massachusetts general hospital","Top"
"2647","The Massachusetts General Hospital","Top"
"2648","Singapore Institute of Technology","Top"
"2649","Max-Planch-Institute for Metabolism Research","Top"
"2650","Wichita State University","Proficient"
"2651","University of Veterinary Medicine Vienna","Standard/Unranked/Unknown"
"2652","University of New England","Standard/Unranked/Unknown"
"2653","Sheba Medical center","Standard/Unranked/Unknown"
"2654","Sheba Medical Center","Standard/Unranked/Unknown"
"2655","North Dakota State University","Standard/Unranked/Unknown"
"2656","Cedars-Sinai Medical Center","Standard/Unranked/Unknown"
"2657","Cedars Sinai Medical Center","Standard/Unranked/Unknown"
"2658","Cedars-Sinai medical Center","Standard/Unranked/Unknown"
"2659","Zhejiang University School of Medicine","Top"
"2660","University of Kansas Medical Center","Top"
"2661","zhejiang university school of medicine","Top"
"2662","CRNL","Top"
"2663","Goethe University","Standard/Unranked/Unknown"
"2664","Goethe-University","Standard/Unranked/Unknown"
"2665","Hebrew University","Standard/Unranked/Unknown"
"2666","The Hebrew University","Standard/Unranked/Unknown"
"2667","University of Washington Medical Center","Top"
"2668","Vanderbilt University Medical Center","Proficient"
"2669","University of Copenhagen Faculty of Health and Medical Sciences","Proficient"
"2670","Georgetown University Medical Center","Proficient"
"2671","Maastricht University Medical Centre","Proficient"
"2672","University of Cincinnati Medical Center","Standard/Unranked/Unknown"
"2673","Maastricht University Medical Center","Proficient"
"2674","University of Nevada","Standard/Unranked/Unknown"
"2675","University of Pittsburgh Medical Center","Proficient"
"2676","Illinois","Standard/Unranked/Unknown"
"2677","Kyoto Prefectural University","Standard/Unranked/Unknown"
"2678","Northern Illinois University","Standard/Unranked/Unknown"
"2679","University of Texas Health Science Center Houston","Top"
"2680","University of Texas Health Science Center","Top"
"2681","University of Texas Health Science Center at San Antonio","Top"
"2682","University of Texas Health Science Center, San Antonio","Top"
"2683","The University of Texas Health Science Center at San Antonio","Top"
"2684","University of Texas Health Science Center at Houston","Top"
"2685","The University of Texas Health Science Center at Houston","Top"
"2686","Nagasaki University School of Medicine","Standard/Unranked/Unknown"
"2687","Université de Toulouse, CNRS, INPT, UPS","Standard/Unranked/Unknown"
"2688","Université de Toulouse, CNRS ERL 5311, EFS, INP-ENVT, Inserm U1031, UPS","Standard/Unranked/Unknown"
"2689","Université de Toulouse, CNRS, UPS","Standard/Unranked/Unknown"
"2690","University of Lethbridge","Standard/Unranked/Unknown"
"2691","Berkeley USA","Standard/Unranked/Unknown"
"2692","Rhodes University","Standard/Unranked/Unknown"
"2693","CBMA, University of Minho","Standard/Unranked/Unknown"
"2694","IBMC, University of Porto","Standard/Unranked/Unknown"
"2695","State University of Rio de Janeiro","Standard/Unranked/Unknown"
"2696","Leeds University","Proficient"
"2697","Mainz University","Standard/Unranked/Unknown"
"2698","The University of Lethbridge","Standard/Unranked/Unknown"
"2699","Leeds Univ.","Proficient"
"2700","Univ. Lethbridge","Standard/Unranked/Unknown"
"2701","University of Cambridge Institute of Metabolic Science","Top"
"2702","UT Health San Antonio","Standard/Unranked/Unknown"
"2703","The Broad Institute","Standard/Unranked/Unknown"
"2704","Broad Institute","Standard/Unranked/Unknown"
"2705","URGI-INRA","Proficient"
"2706","Standford","Top"
"2707","University of Saarland","Standard/Unranked/Unknown"
"2708","University of Arizona College of Medicine","Top"
"2709","Kampala International University","Top"
"2710","Rhodes College","Proficient"
"2711","Max Planck Institute for Psycholinguistics","Top"
"2712","Korea University of Medicine","Proficient"
"2713","Univ. Grenoble Alpes","Standard/Unranked/Unknown"
"2714","Denver School of Medicine, University of Colorado, Aurora","Top"
"2715","Geffen School of Medicine at University of California, Los Angeles","Top"
"2716","Université de Lorraine","Standard/Unranked/Unknown"
"2717","Universite de POITIERS","Standard/Unranked/Unknown"
"2718","UNC, CONICET","Standard/Unranked/Unknown"
"2719","Université de Bourgogne","Standard/Unranked/Unknown"
"2720","universite de bourgogne","Standard/Unranked/Unknown"
"2721","weizmann instituite","Proficient"
"2722","Sorbonne Universités, University of Technology of Compiègne","Standard/Unranked/Unknown"
"2723","University of Texas MD Anderson Cancer Center","Standard/Unranked/Unknown"
"2724","The University of Texas MD Anderson Cancer Center","Standard/Unranked/Unknown"
"2725","The University of Texas M.D. Anderson Cancer Center","Standard/Unranked/Unknown"
"2726","University Institute of Pathology","Standard/Unranked/Unknown"
"2727","University of Texas M.D. Anderson Cancer Center","Standard/Unranked/Unknown"
"2728","Chungbuk National University","Standard/Unranked/Unknown"
"2729","Sorbonne Université, UPMC Univ Paris 06, INSERM, CNRS","Proficient"
"2730","University of Maryland","Proficient"
"2731","Nagasaki University Graduate School of Biomedical Sciences,","Standard/Unranked/Unknown"
"2732","Nagasaki University Graduate School of Biomedical Sciences","Standard/Unranked/Unknown"
"2733","Hokkaido University Graduate School of Medicine","Standard/Unranked/Unknown"
"2734","University of Michigan School of Medicine","Top"
"2735","University of Virginia School of Medicine","Proficient"
"2736","The University of Maryland","Proficient"
"2737","University of Arkansas at Fayetteville","Standard/Unranked/Unknown"
"2738","Kanazawa University Graduate School of Medical Sciences","Standard/Unranked/Unknown"
"2739","Juntendo University Graduate School of Medicine","Standard/Unranked/Unknown"
"2740","Stanford Univ. dept Biology","Top"
"2741","Univ. of Maryland","Proficient"
"2742","Univ. Maryland","Proficient"
"2743","University of Virginia, School of Medicine","Proficient"
"2744","Weill Cornell Medicine","Top"
"2745","University of Ulsan College of Medicine","Top"
"2746","Virginia Tech","Standard/Unranked/Unknown"
"2747","Hebei Medical University","Standard/Unranked/Unknown"
"2748","University of Lund","Standard/Unranked/Unknown"
"2749","UNC School of Medicine","Standard/Unranked/Unknown"
"2750","Mount Sinai School of Medicine","Top"
"2751","Universidade de São Paulo","Standard/Unranked/Unknown"
"2752","Université de Liège","Standard/Unranked/Unknown"
"2753","Braunschweig University of Technology","Standard/Unranked/Unknown"
"2754","University of Arizona Medical Center","Top"
"2755","University of Toronto at Scarborough","Top"
"2756","University of Tours","Standard/Unranked/Unknown"
"2757","Uppsala University, Rudbeck Lab","Proficient"
"2758","Utmdacc","Proficient"
"2759","FDA","Proficient"
"2760","Parma University","Standard/Unranked/Unknown"
"2761","NIH - NIA","Top"
"2762","University of Seville Medical School","Standard/Unranked/Unknown"
"2763","University of Hosei","Standard/Unranked/Unknown"
"2764","University of Toronto Scarborough","Top"
"2765","University of Kiel, Germany","Standard/Unranked/Unknown"
"2766","Brock University","Proficient"
"2767","University of Toronto, Scarborough","Top"
"2768","NIMH/NIH","Top"
"2769","UMC","Standard/Unranked/Unknown"
"2770","University of Toronto Mississauga","Top"
"2771","Nagoya Medical Center","Standard/Unranked/Unknown"
"2772","University of Bonn Medical Center","Top"
"2773","University of Miami School of Medicine","Standard/Unranked/Unknown"
"2774","School of Life Science and Technology","Standard/Unranked/Unknown"
"2775","Erasmus Medical Center","Standard/Unranked/Unknown"
"2776","University of Mississippi","Standard/Unranked/Unknown"
"2777","University of Virginia Medical Center","Top"
"2778","Kurume University School of Medicine","Standard/Unranked/Unknown"
"2779","Paris Descartes University","Standard/Unranked/Unknown"
"2780","Paris-Descartes University","Standard/Unranked/Unknown"
"2781","University of Rochester Medical Center","Proficient"
"2782","Wake Forest School of Medicine","Standard/Unranked/Unknown"
"2783","Kagoshima University Medical and Dental Hospital","Standard/Unranked/Unknown"
"2784","Zhongda Hospital, School of Medicine, Southeast University","Top"
"2785","Charité University Medicine","Top"
"2786","Carnegie Institute","Top"
"2787","Aalto University, School of Science","Standard/Unranked/Unknown"
"2788","Aalto University School of Science","Standard/Unranked/Unknown"
"2789","University of Zurich and ETH Zurich","Proficient"
"2790","Temple University Lewis Katz School of Medicine","Standard/Unranked/Unknown"
"2791","University of Oxford, The Jenner Institute","Top"
"2792","Monash South Africa","Proficient"
"2793","Tulane University School of Public Health and Tropical Medicine","Standard/Unranked/Unknown"
"2794","University of Zurich & ETH Zurich","Proficient"
"2795","Univ Kansas Med Center","Standard/Unranked/Unknown"
"2796","McGill University, Lady Davis Institute","Top"
"2797","L'Oreal (Singapore)","Top"
"2798","Central University of Punjab","Standard/Unranked/Unknown"
"2799","Xuzhou Medical University","Standard/Unranked/Unknown"
"2800","Université Claude Bernard Lyon1","Standard/Unranked/Unknown"
"2801","UT Austin","Top"
"2802","UT-Austin","Top"
"2803","Natioanl Institute of Health","Top"
"2804","National Research Institute of Chinese Medidine,  Ministry of Health and Welfare","Standard/Unranked/Unknown"
"2805","National Institute for Occupational Health and Poison Control, Chinese Center for Disease Control and Prevention","Standard/Unranked/Unknown"
"2806","Western Governor's University","Standard/Unranked/Unknown"
"2807","Edinburgh Medical School, University of Edinburgh","Standard/Unranked/Unknown"
"2808","Université de Bordeaux","Standard/Unranked/Unknown"
"2809","université de Bordeaux","Standard/Unranked/Unknown"
"2810","Universite de Bordeaux","Standard/Unranked/Unknown"
"2811","UCSF School of Medicine","Standard/Unranked/Unknown"
"2812","KEIO SCHOOL OF MEDICINE","Top"
"2813","Institute of Microbial Technology","Standard/Unranked/Unknown"
"2814","Central European Institute of Technology","Standard/Unranked/Unknown"
"2815","The University of Texas Health Sciences Center at Houston","Top"
"2816","University of Texas Health Sciences Center, Houston","Top"
"2817","University of Texas Health Sciences Center","Top"
"2818","Sorbonne Universités, UPMC Univ Paris 06, INSERM, CNRS","Proficient"
"2819","Sorbonne Universités, UPMC Univ Paris 06, CNRS","Proficient"
"2820","University of Michigan Health System","Top"
"2821","University of Michigan School of Dentistry","Top"
"2822","Sorbonne Universités, UPMC Univ Paris 06, INSERM","Proficient"
"2823","Plymouth University Peninsula School of Medicine","Standard/Unranked/Unknown"
"2824","Institute of Science and Technology, Univ Estadual Paulista/UNESP","Standard/Unranked/Unknown"
"2825","Sorbonne Universités, UPMC Univ. Paris 06","Proficient"
"2826","Sorbonne Universités, UPMC Univ Paris 06, UM 119; Centre National de la Recherche Scientifique (CNRS), UMR 8246; Institut National de la Santé et de la Recherche Médicale (INSER","Proficient"
"2827","University of Michigan School of dentistry","Top"
"2828","University of Virginia Health System","Proficient"
"2829","Shihezi University","Standard/Unranked/Unknown"
"2830","Heidelberg Medical School","Top"
"2831","University of Luebeck","Standard/Unranked/Unknown"
"2832","Univeristy of Nottingham","Proficient"
"2833","Obihiro university","Standard/Unranked/Unknown"
"2834","University of Wrocław","Standard/Unranked/Unknown"
"2835","University of Orléans","Standard/Unranked/Unknown"
"2836","Tunghai University","Standard/Unranked/Unknown"
"2837","Ryerson University","Standard/Unranked/Unknown"
"2838","University of Wroclaw","Standard/Unranked/Unknown"
"2839","Shahed University","Standard/Unranked/Unknown"
"2840","Bocconi University","Proficient"
"2841","Augusta University","Standard/Unranked/Unknown"
"2842","University of Lleida","Proficient"
"2843","Augusta university","Standard/Unranked/Unknown"
"2844","University or Toronto","Top"
"2845","University of Madrid","Standard/Unranked/Unknown"
"2846","University of Hanover","Standard/Unranked/Unknown"
"2847","Boston University School of Medicine","Standard/Unranked/Unknown"
"2848","Cedars-Sinai Medical Center/University of California, Los Angeles","Standard/Unranked/Unknown"
"2849","UNSW Australia","Proficient"
"2850","Univ. of CA, Berkeley","Proficient"
"2851","Philipps University","Standard/Unranked/Unknown"
"2852","Ohio State Wexner Medical Center","Top"
"2853","Graduate School of Medicine, University of Tokyo","Top"
"2854","Graduate School of Medicine, The University of Tokyo","Top"
"2855","Graduate School of Medicine, the University of Tokyo","Top"
"2856","The Catholic Univ of Korea, College of Med","Standard/Unranked/Unknown"
"2857","Tech U Munich","Top"
"2858","BPN University of Hamburg","Proficient"
"2859","University of Louiseville","Standard/Unranked/Unknown"
"2860","UTHSC-Houston","Standard/Unranked/Unknown"
"2861","National Institute of Immunology","Standard/Unranked/Unknown"
"2862","NIAMS, National Institutes of Health","Top"
"2863","Harvard School of Dental Medicine","Top"
"2864","ENS de LYON","Standard/Unranked/Unknown"
"2865","ENS de Lyon","Standard/Unranked/Unknown"
"2866","Hungkuang University","Standard/Unranked/Unknown"
"2867","Seattle University","Proficient"
"2868","CNRS, University Lyon 1","Standard/Unranked/Unknown"
"2869","The University of Tokushima","Standard/Unranked/Unknown"
"2870","Humanitas University","Standard/Unranked/Unknown"
"2871","University of Tokushima","Standard/Unranked/Unknown"
"2872","Technion University, Israel","Standard/Unranked/Unknown"
"2873","University of Cincinnati College of Medicine","Standard/Unranked/Unknown"
"2874","Baylor Health","Standard/Unranked/Unknown"
"2875","Leipzig University Medical Center","Top"
"2876","Lausanne University","Proficient"
"2877","Lausanne Univ.","Proficient"
"2878","Indian Institute of Chemical Biology","Standard/Unranked/Unknown"
"2879","Université d'Auvergne","Standard/Unranked/Unknown"
"2880","South China Normal University","Standard/Unranked/Unknown"
"2881","Stanford University Hospital and Clinics","Top"
"2882","Universität zu Lübeck","Standard/Unranked/Unknown"
"2883","University of Toronto Research Institute","Top"
"2884","Howard Hughes Medical Institute, Harvard University Faculty of Arts and Sciences Center for Systems Biology","Top"
"2885","Niigata University Graduate School of Medical and Dental Sciences","Standard/Unranked/Unknown"
"2886","Chung Shan Medical University","Standard/Unranked/Unknown"
"2887","Okayama University Graduate School of Medicine, Dentistry, and Pharmaceutical Sciences","Standard/Unranked/Unknown"
"2888","Okayama University Graduate School of Medicine, Dentistry and Pharmaceutical Sciences","Standard/Unranked/Unknown"
"2889","Institute of Biosciences and Technology, Texas A&M Health Science Center","Standard/Unranked/Unknown"
"2890","Institute of Plant Sciences","Standard/Unranked/Unknown"
"2891","University of Bucharest, Faculty of Biology","Standard/Unranked/Unknown"
"2892","University of Barcelona, Faculty of Biology","Standard/Unranked/Unknown"
"2893","Magna Graecia University","Standard/Unranked/Unknown"
"2894","Netherlands Institute of Ecology","Standard/Unranked/Unknown"
"2895","Mt. Sinai School of Medicine","Standard/Unranked/Unknown"
"2896","University Pablo de Olavide","Proficient"
"2897","University Pablo De Olavide","Proficient"
"2898","Georg August University","Proficient"
"2899","Georg-August-University","Proficient"
"2900","Federation University Australia","Standard/Unranked/Unknown"
"2901","Hôpital Cochin","Proficient"
"2902","universite de provence","Standard/Unranked/Unknown"
"2903","North Carolina Agricultural and Technical State University","Standard/Unranked/Unknown"
"2904","University of Texas Medical Branch","Standard/Unranked/Unknown"
"2905","SUNY College of Optometry","Standard/Unranked/Unknown"
"2906","University of Texas Medical Branch at Galveston / Galveston National Laboratory","Standard/Unranked/Unknown"
"2907","University of Primorska","Standard/Unranked/Unknown"
"2908","The University of Texas Medical Branch at Galveston","Standard/Unranked/Unknown"
"2909","University of Texas Medical Branch, School of Medicine","Standard/Unranked/Unknown"
"2910","University of Texas Medical Branch at Galveston","Standard/Unranked/Unknown"
"2911","the University of Texas Medical Branch at Galveston","Standard/Unranked/Unknown"
"2912","Genentech, Inc.","Standard/Unranked/Unknown"
"2913","Genentech, Inc","Standard/Unranked/Unknown"
"2914","Genentech Inc.","Standard/Unranked/Unknown"
"2915","National Institute of Aging","Standard/Unranked/Unknown"
"2916","Tuebingen University","Proficient"
"2917","University of Wisconsin, Oshkosh","Top"
"2918","University of Wisconsin Oshkosh","Top"
"2919","Inflammation Research Center","Top"
"2920","Rush University Medical Center","Top"
"2921","Seton Hall University","Proficient"
"2922","Vellore Institute of Technology University","Top"
"2923","National Research Center for Rehabilitation Technical Aids","Standard/Unranked/Unknown"
"2924","Baqyatalah University of Medical Sciences","Standard/Unranked/Unknown"
"2925","Central Institute of Mental Health","Standard/Unranked/Unknown"
"2926","Instituto de Investigación en Biomedicina de Buenos Aires - CONICET - Partner Institute of the Max Planck Society","Standard/Unranked/Unknown"
"2927","Fundación Instituto Leloir-Instituto de Investigaciones Bioquímicas de Buenos Aires","Standard/Unranked/Unknown"
"2928","The University of Queensland, Brisbane, Australia","Standard/Unranked/Unknown"
"2929","The Walter and Eliza Hall Institute of Medical Research","Standard/Unranked/Unknown"
"2930","Walter and Eliza Hall Institute of Medical Research","Standard/Unranked/Unknown"
"2931","Victor Chang Cardiac Research Institute","Standard/Unranked/Unknown"
"2932","The Victor Chang Cardiac Research Institute","Standard/Unranked/Unknown"
"2933","The Walter & Eliza Hall Institute of Medical Research","Standard/Unranked/Unknown"
"2934","Australian College of Optometry","Standard/Unranked/Unknown"
"2935","Adalta Pty Ltd","Standard/Unranked/Unknown"
"2936","Australian Institute of Marine Science","Standard/Unranked/Unknown"
"2937","CSIRO","Standard/Unranked/Unknown"
"2938","Garvan Institute of Medical Research","Standard/Unranked/Unknown"
"2939","The Australian eHealth Research Centre","Standard/Unranked/Unknown"
"2940","The Hospital for Tropical Diseases, Wellcome Trust Major Overseas Programme and Nuffield Department of Medicine, University of Oxford, Oxford, UK","Standard/Unranked/Unknown"
"2941","St. Vincent's Institute of Medical Research","Standard/Unranked/Unknown"
"2942","The Walter and Eliza Hall Institute","Standard/Unranked/Unknown"
"2943","The Walter and Eluza Hall Institute of Medical Research","Standard/Unranked/Unknown"
"2944","School of Molecular Sciences, La Trobe University","Standard/Unranked/Unknown"
"2945","Walter and Eliza Hall Institute of Medical Reseach","Standard/Unranked/Unknown"
"2946","Institute for Science and Technology (IST) Austria","Standard/Unranked/Unknown"
"2947","Institute of Molecular Biotechnology","Standard/Unranked/Unknown"
"2948","Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA)","Standard/Unranked/Unknown"
"2949","Research Institute of Molecular Pathology","Standard/Unranked/Unknown"
"2950","Boehringer Ingelheim RCV","Standard/Unranked/Unknown"
"2951","Research Institute of Wildlife Ecology","Standard/Unranked/Unknown"
"2952","St. Anna Kinderkrebsforschung, Children's Cancer Research Institute","Standard/Unranked/Unknown"
"2953","Vetmeduni Vienna","Standard/Unranked/Unknown"
"2954","IST Austria (Institute of Science and Technology Austria), 3400 Klosterneuburg, Austria","Standard/Unranked/Unknown"
"2955","Vienna Biocenter","Standard/Unranked/Unknown"
"2956","Institute of Science and Technology Austria","Standard/Unranked/Unknown"
"2957","Institute of Molecular Biotechnology (IMBA)","Standard/Unranked/Unknown"
"2958","Boehringer Ingelheim","Standard/Unranked/Unknown"
"2959","Gregor Mendel Institute","Standard/Unranked/Unknown"
"2960","Gregor Mendel Institute of Molecular Plant Biology GmbH","Standard/Unranked/Unknown"
"2961","IMBA","Standard/Unranked/Unknown"
"2962","Institute of Molecular Biotechnology of the Austrian Academy of Sciences","Standard/Unranked/Unknown"
"2963","Max F. Perutz Laboratories","Standard/Unranked/Unknown"
"2964","Research Institute for Molecular Pathology","Standard/Unranked/Unknown"
"2965","University","Standard/Unranked/Unknown"
"2966","University of Natural Resources and Life Sciences","Standard/Unranked/Unknown"
"2967","Institute of Molecular Biotechnology of the Austrian Academy of Science (IMBA)","Standard/Unranked/Unknown"
"2968","NUniversity College Londonear Receptor Signalling Unit - Receptor Research Laboratories, VIB, Ghent University","Standard/Unranked/Unknown"
"2969","Université Pierre et Marie Curie","Standard/Unranked/Unknown"
"2970","University of Leuven (KU Leuven)","Standard/Unranked/Unknown"
"2971","VIB","Standard/Unranked/Unknown"
"2972","VIB Center for the Biology of Disease, KU Leuven","Standard/Unranked/Unknown"
"2973","Université Catholique de Louvain","Standard/Unranked/Unknown"
"2974","Hasselt University, Biomedical Research Institute","Standard/Unranked/Unknown"
"2975","Laboratory for Neuro-and Psychophysiology","Standard/Unranked/Unknown"
"2976","Universite catholique de Louvain","Standard/Unranked/Unknown"
"2977","ICM","Standard/Unranked/Unknown"
"2978","VIB Vesalius Research Center, KU Leuven","Standard/Unranked/Unknown"
"2979","Vlaams Instituut voor Biotechnologie","Standard/Unranked/Unknown"
"2980","Instituto Oswaldo Cruz, Rio de Janeiro","Standard/Unranked/Unknown"
"2981","Universidade Federal do Rio de Janeiro (UFRJ)","Standard/Unranked/Unknown"
"2982","University of Campinas","Standard/Unranked/Unknown"
"2983","Brazilian Biosciences National Laboratory","Standard/Unranked/Unknown"
"2984","The Wenner-Gren Institute, Stockholm Univerity","Standard/Unranked/Unknown"
"2985","Institut Pasteur in Cambodia","Standard/Unranked/Unknown"
"2986","NRC, McGill Univ","Standard/Unranked/Unknown"
"2987","Universite de Montreal","Standard/Unranked/Unknown"
"2988","St. Michael's Hospital","Standard/Unranked/Unknown"
"2989","Janelia Research Campus, Howard Hughes Medical Institute","Standard/Unranked/Unknown"
"2990","Université Laval","Standard/Unranked/Unknown"
"2991","University of Sherbrooke","Standard/Unranked/Unknown"
"2992","Montreal Neurological Institute, McGill University","Standard/Unranked/Unknown"
"2993","Université catholique de Louvain","Standard/Unranked/Unknown"
"2994","The Ottawa Hospital Research Institute","Standard/Unranked/Unknown"
"2995","Sunnybrook Research Institute","Standard/Unranked/Unknown"
"2996","Charité","Standard/Unranked/Unknown"
"2997","Douglas Mental Health University Institute","Standard/Unranked/Unknown"
"2998","Institut de recherches cliniques de Montréal","Standard/Unranked/Unknown"
